CID,MenteeID,MentorID,MentorshipType,Institution,InstitutionMAGID,StartYear,StopYear,NumOfMenteesOfTheMentor,NumOfMenteesOfTheMentor10,NumOfMenteesOfTheMenteeIn20,BigOrSmall,Survival0,Survival1,TotalPubsOfMentor,YearOfTheFirstPubsOfMentorPubs,YearlyPubsOfMentor,TotalCitationOfMentor,YearlyCitationOfMentor,TotalCollaOfMentor,YearllyCollaOfMentor,YearOfTheFirstPubsOfMenteePubs,First5YearPubsOfMentee,First5YearCitationOfMentee,First5YearCollaOfMentee,YearlyPubsOfMentee,YearlyCitationOfMentee,BirthYearOfMentee,CareerAgeOfMentorInTraining,PubsOfMentorInTraning,CollaPubsOfWithMentor,S_Or_DP
69642,3069,27265,1,"University of Michigan, Ann Arbor",27837315.0,1986,1990,3,1,0,0,0,0,43,1988.0,1.303030303030303,9109,276.030303030303,52,1.5757575757575757,1989.0,2,60,3,1.4242424242424243,118.3030303030303,1989.0,2.0,8,2,1
69830,30212,389,1,MIT/Harvard,,1978,1983,31,1,2,0,1,1,169,1962.0,2.816666666666667,39658,660.9666666666667,190,3.1666666666666665,1982.0,6,10858,6,3.95,571.575,1982.0,21.0,11,0,1
69845,21871,58283,1,Leiden University,121797337.0,-1,1981,1,1,13,0,1,1,87,1968.0,1.6415094339622642,5959,112.43396226415095,52,0.981132075471698,1978.0,3,16,2,3.6818181818181817,184.27272727272728,1978.0,13.0,8,2,1
69949,58350,15408,1,University of Southern California,1174212.0,-1,1984,8,1,3,0,1,1,597,1972.0,11.94,79135,1582.7,766,15.32,1980.0,10,1072,18,4.256410256410256,494.35897435897436,1980.0,12.0,51,8,1
69950,58350,2376,2,Rockefeller University,83399316.0,-1,1987,15,2,8,-1,1,1,865,1966.0,15.446428571428573,100722,1798.607142857143,874,15.607142857142858,1980.0,10,1072,18,4.256410256410256,494.35897435897436,1980.0,21.0,141,11,1
69954,28547,184,2,"University of Maryland, College Park",66946132.0,1992,1995,35,1,0,0,0,0,288,1983.0,7.384615384615384,23992,615.1794871794872,338,8.666666666666666,1990.0,11,1263,12,2.0625,116.71875,1990.0,12.0,29,7,1
69997,2553,3344,1,"Institut Pasteur, Paris",,1960,1964,14,3,4,-1,1,1,210,1951.0,3.28125,47215,737.734375,271,4.234375,1962.0,9,20152,10,12.316666666666665,2275.9,1962.0,13.0,31,1,1
69999,3702,2728,1,"University of California, Davis",84218800.0,1988,1992,6,1,3,0,1,1,120,1972.0,2.727272727272727,12124,275.54545454545456,124,2.8181818181818183,-1.0,0,0,0,0.0,0.0,1992.0,20.0,17,0,0
70044,58436,2877,2,Harvard Medical School,136199984.0,1972,1975,8,3,0,-1,1,0,101,1965.0,1.9423076923076923,13330,256.34615384615387,120,2.3076923076923075,1972.0,10,1233,8,3.0222222222222217,454.1111111111112,1972.0,10.0,7,4,1
70045,58436,2583,2,University College London,45129253.0,1975,1978,12,2,0,-1,1,0,375,1968.0,7.352941176470589,96072,1883.764705882353,262,5.137254901960786,1972.0,10,1233,8,3.0222222222222217,454.1111111111112,1972.0,10.0,23,7,1
70066,58450,7445,3,Florida State University,103163165.0,1985,1991,2,1,0,0,0,0,61,1968.0,1.525,2569,64.225,58,1.45,1988.0,6,476,6,0.52,56.92,1988.0,23.0,6,3,1
70085,58459,16093,1,University of Illinois,,-1,1964,6,1,0,0,1,0,114,1952.0,1.7538461538461538,34762,534.8,61,0.9384615384615383,-1.0,0,0,0,0.0,0.0,1964.0,12.0,24,0,0
70171,58526,58527,1,"University of Massachusetts, Amherst",24603500.0,1985,1990,13,5,22,1,1,1,759,1969.0,14.320754716981131,68289,1288.4716981132076,963,18.169811320754718,1957.0,1,0,2,8.123076923076923,726.4,1957.0,21.0,90,13,1
70199,58548,1461,1,United States,,1971,1977,4,1,0,0,1,0,83,1966.0,1.8043478260869563,11777,256.0217391304348,92,2.0,1973.0,4,458,4,1.74,207.28,1973.0,11.0,15,3,1
70200,58548,417,1,United States,,1971,1978,8,4,0,1,1,0,66,1963.0,2.129032258064516,9062,292.32258064516134,64,2.064516129032258,1973.0,4,458,4,1.74,207.28,1973.0,15.0,17,0,1
70201,58548,58549,1,United States,,1977,1983,2,2,1,-1,1,1,40,1983.0,1.2903225806451613,3604,116.25806451612905,56,1.806451612903225,1973.0,4,458,4,1.74,207.28,1973.0,0.0,3,0,1
70255,58592,20889,1,University of Oxford,40120149.0,1990,1994,7,3,0,-1,0,0,34,1985.0,0.9444444444444444,7917,219.91666666666663,58,1.6111111111111112,1994.0,9,8177,28,1.3703703703703705,415.851851851852,1994.0,9.0,14,1,1
70286,30366,7101,1,"University of California, San Francisco",180670191.0,1987,1992,5,3,8,-1,1,1,52,1975.0,1.2682926829268293,12131,295.8780487804878,48,1.170731707317073,1997.0,9,1179,36,3.76,321.44,1992.0,17.0,18,0,1
70287,7101,5739,1,"UCLA, Brain Research Institute",,1978,1982,14,2,5,-1,1,1,97,1952.0,1.4923076923076923,15397,236.8769230769231,86,1.3230769230769228,1975.0,2,237,4,1.2682926829268293,295.8780487804878,1975.0,30.0,15,0,1
70289,7101,1777,2,Yale Med Sch,,1983,1985,60,5,5,1,1,1,311,1968.0,5.7592592592592595,110196,2040.666666666667,482,8.925925925925926,1975.0,2,237,4,1.2682926829268293,295.8780487804878,1975.0,17.0,40,9,1
70290,7101,17824,2,University of Cambridge,241749.0,1985,1986,3,2,5,-1,1,1,47,1958.0,1.46875,5761,180.03125,35,1.09375,1975.0,2,237,4,1.2682926829268293,295.8780487804878,1975.0,28.0,4,0,1
70321,58634,160,1,Cornell University,205783295.0,1925,1929,15,2,0,-1,1,0,71,1894.0,0.5966386554621849,4077,34.260504201680675,27,0.22689075630252106,-1.0,0,0,0,0.0,0.0,1929.0,35.0,3,0,0
70322,58634,58635,1,Cornell University,205783295.0,1927,1929,1,1,0,0,1,0,0,-1.0,0.0,0,0.0,0,0.0,-1.0,0,0,0,0.0,0.0,1929.0,-1.0,0,0,0
70325,58636,160,1,Cornell University,205783295.0,1901,1902,15,2,1,-1,1,1,71,1894.0,0.5966386554621849,4077,34.260504201680675,27,0.22689075630252106,-1.0,0,0,0,0.0,0.0,1902.0,8.0,7,0,0
70326,58635,58636,1,Cornell University,205783295.0,1909,1911,1,1,1,0,1,1,0,-1.0,0.0,0,0.0,0,0.0,-1.0,0,0,0,0.0,0.0,1911.0,-1.0,0,0,0
70328,49762,58637,1,Cornell  ,,1931,1933,1,1,3,0,1,1,0,-1.0,0.0,0,0.0,0,0.0,1966.0,3,913,4,0.21052631578947367,52.157894736842096,1933.0,-1.0,0,0,1
