CID,MenteeID,MentorID,MentorshipType,Institution,InstitutionMAGID,StartYear,StopYear,NumOfMenteesOfTheMentor,NumOfMenteesOfTheMentor10,NumOfMenteesOfTheMenteeIn20,BigOrSmall,Survival0,Survival1,TotalPubsOfMentor,YearOfTheFirstPubsOfMentorPubs,YearlyPubsOfMentor,TotalCitationOfMentor,YearlyCitationOfMentor,TotalCollaOfMentor,YearllyCollaOfMentor,YearOfTheFirstPubsOfMenteePubs,First5YearPubsOfMentee,First5YearCitationOfMentee,First5YearCollaOfMentee,YearlyPubsOfMentee,YearlyCitationOfMentee,BirthYearOfMentee,CareerAgeOfMentorInTraining,PubsOfMentorInTraning,CollaPubsOfWithMentor,S_Or_DP
1383118,725650,437526,1,Stanford University,97018004.0,-1,1981,1,1,1,0,1,1,48,1985.0,1.6551724137931034,1943,67.0,20,0.6896551724137931,1978.0,9,1201,7,7.0681818181818175,192.63636363636363,1978.0,-4.0,0,0,1
1383115,725650,102424,1,Stanford University,97018004.0,-1,1981,15,4,1,1,1,1,0,-1.0,0.0,0,0.0,0,0.0,1978.0,9,1201,7,7.0681818181818175,192.63636363636363,1978.0,-1.0,0,0,1
1383109,437526,102424,1,Stanford University,97018004.0,-1,1979,15,5,1,1,1,1,0,-1.0,0.0,0,0.0,0,0.0,1985.0,11,341,10,1.6551724137931034,67.0,1979.0,-1.0,0,0,1
1383106,594977,102424,1,Stanford University,97018004.0,-1,1982,15,5,3,1,1,1,0,-1.0,0.0,0,0.0,0,0.0,1981.0,19,855,13,2.4444444444444446,86.75,1981.0,-1.0,0,0,1
1382855,381246,590206,1,Johns Hopkins University,145311948.0,-1,1983,4,2,0,-1,0,0,110,1964.0,2.0754716981132075,6093,114.96226415094341,124,2.339622641509434,1980.0,5,84,8,3.365853658536585,356.24390243902434,1980.0,19.0,21,1,1
1382831,459863,641894,1,"University of Michigan, Ann Arbor",27837315.0,-1,1988,1,1,4,0,1,1,55,1968.0,1.0576923076923077,1220,23.461538461538463,50,0.9615384615384616,1990.0,4,45,5,1.53125,9.0,1988.0,20.0,9,1,1
1382830,459863,725550,1,"University of Michigan, Ann Arbor",27837315.0,-1,1988,1,1,4,0,1,1,8,1965.0,1.3333333333333333,33,5.5,9,1.5,1990.0,4,45,5,1.53125,9.0,1988.0,23.0,0,0,1
1382792,725586,125221,1,Massachusetts Institute of Technology,63966007.0,1959,1963,7,3,0,-1,0,0,152,1953.0,2.375,5393,84.265625,255,3.984375,1972.0,6,338,8,0.7727272727272727,26.09090909090909,1963.0,10.0,7,0,1
1382578,393145,725516,1,University of Virginia,51556381.0,-1,1975,1,1,0,0,1,0,0,-1.0,0.0,0,0.0,0,0.0,1974.0,16,145,6,7.042553191489363,250.4255319148936,1974.0,-1.0,0,0,1
1382573,587787,725515,1,The Catholic University of America,84470341.0,-1,1974,2,1,0,0,1,0,75,1952.0,1.4705882352941178,388,7.6078431372549025,53,1.03921568627451,1978.0,16,307,15,7.4186046511627906,66.0,1974.0,22.0,10,0,1
1382572,725515,23348,1,Leiden University,121797337.0,-1,1951,15,5,1,-1,1,1,0,-1.0,0.0,0,0.0,0,0.0,1952.0,3,23,2,1.4705882352941178,7.6078431372549025,1951.0,-1.0,0,0,1
1382568,560880,116245,1,California Institute of Technology,122411786.0,-1,1989,4,2,2,-1,1,1,0,-1.0,0.0,0,0.0,0,0.0,1990.0,23,157,36,2.033333333333333,9.666666666666666,1989.0,-1.0,0,0,1
1382564,380324,687368,1,"University of Michigan, Ann Arbor",27837315.0,-1,1984,1,1,4,0,1,1,24,1969.0,1.0909090909090908,620,28.181818181818183,20,0.9090909090909092,1982.0,3,78,5,3.95,19.95,1982.0,15.0,2,0,1
1382562,625091,169585,1,"University of California, Berkeley",95457486.0,-1,1949,9,7,1,1,1,1,22,1924.0,0.5945945945945946,490,13.243243243243244,12,0.32432432432432434,-1.0,0,0,0,0.0,0.0,1949.0,25.0,5,0,0
1382563,380324,497993,1,"University of Michigan, Ann Arbor",27837315.0,-1,1984,1,1,4,0,1,1,194,1976.0,4.217391304347826,5453,118.54347826086956,437,9.5,1982.0,3,78,5,3.95,19.95,1982.0,8.0,9,1,1
1382548,725514,52699,1,Vrije Universiteit Amsterdam,865915315.0,-1,1966,2,2,0,-1,1,0,0,-1.0,0.0,0,0.0,0,0.0,-1.0,0,0,0,0.0,0.0,1966.0,-1.0,0,0,0
1382544,725513,725512,1,Delft University of Technology,98358874.0,-1,1979,1,1,1,0,1,1,3,1990.0,3.0,67,67.0,3,3.0,1977.0,9,73,7,9.666666666666666,128.42222222222222,1977.0,-11.0,0,0,1
1382546,725512,25598,1,Utrecht University,193662353.0,-1,1960,6,6,1,1,1,1,2,1986.0,1.0,14,7.0,1,0.5,1990.0,3,67,3,3.0,67.0,1960.0,-26.0,0,0,0
1382681,536326,153926,1,Rice University,74775410.0,-1,1959,7,4,0,-1,1,0,0,-1.0,0.0,0,0.0,0,0.0,1961.0,4,19,6,1.7441860465116281,13.86046511627907,1959.0,-1.0,0,0,1
1382374,725461,72109,1,ETH Zürich,35440088.0,-1,1964,39,20,0,1,0,0,6,1931.0,2.0,38,12.666666666666664,2,0.6666666666666666,-1.0,0,0,0,0.0,0.0,1964.0,33.0,0,0,0
1382364,629317,725457,1,Technische Universität München (TUM),62916508.0,-1,1987,7,1,1,0,1,1,886,1971.0,18.081632653061224,52673,1074.9591836734694,1123,22.918367346938773,2006.0,15,2,35,1.5,0.1875,1987.0,16.0,61,0,1
1382359,725457,66124,1,Georg-August-Universität Göttingen,74656192.0,-1,1974,1,1,4,0,1,1,62,1952.0,1.4090909090909092,6744,153.27272727272728,47,1.068181818181818,1971.0,13,345,14,18.081632653061224,1074.9591836734694,1971.0,22.0,11,1,1
1382354,725456,125219,2,California Institute of Technology,122411786.0,1992,1995,5,2,0,-1,0,0,247,1972.0,4.94,7107,142.14,247,4.94,1989.0,19,211,25,6.78125,190.15625,1989.0,23.0,57,24,1
1382353,725456,271490,1,Vanderbilt University,200719446.0,1985,1991,3,1,0,0,0,0,0,-1.0,0.0,0,0.0,0,0.0,1989.0,19,211,25,6.78125,190.15625,1989.0,-1.0,0,0,1
1382349,437491,590280,1,"University of Wisconsin, Madison",135310074.0,-1,1986,24,3,0,-1,1,0,0,-1.0,0.0,0,0.0,0,0.0,-1.0,0,0,0,0.0,0.0,1986.0,-1.0,0,0,0
1382332,725454,725453,1,"University of Maryland, College Park",66946132.0,-1,1967,1,1,0,0,1,0,35,1967.0,1.6666666666666667,133,6.333333333333332,46,2.1904761904761907,1972.0,5,50,15,1.3333333333333333,32.871794871794876,1967.0,0.0,6,0,1
1382206,226840,725423,1,University of Chicago,40347166.0,-1,1971,1,1,0,0,1,0,0,-1.0,0.0,0,0.0,0,0.0,1967.0,5,87,6,14.454545454545455,2558.9636363636364,1967.0,-1.0,0,0,1
1382194,725423,229297,1,"University of Wisconsin, Madison",135310074.0,-1,1962,10,2,1,-1,1,1,231,1951.0,3.347826086956522,12083,175.11594202898547,91,1.318840579710145,-1.0,0,0,0,0.0,0.0,1962.0,11.0,17,0,0
1382182,725422,157275,1,Schlesische Friedrich-Wilhelms-Universität zu Breslau,,-1,1921,6,1,0,0,0,0,43,1907.0,0.9347826086956522,730,15.869565217391305,23,0.5,-1.0,0,0,0,0.0,0.0,1921.0,14.0,2,0,0
1382049,725367,51184,1,University of Amsterdam,887064364.0,-1,1995,6,4,0,1,0,0,372,1970.0,7.153846153846153,13954,268.34615384615387,299,5.75,1994.0,16,1806,15,10.464285714285714,413.1428571428572,1994.0,25.0,65,10,1
1382016,493383,725360,1,University of Chicago,40347166.0,-1,1960,1,1,1,0,1,1,0,-1.0,0.0,0,0.0,0,0.0,1980.0,1,14,6,0.875,29.5,1960.0,-1.0,0,0,1
1382014,725360,169585,1,"University of California, Berkeley",95457486.0,-1,1951,9,7,1,1,1,1,22,1924.0,0.5945945945945946,490,13.243243243243244,12,0.32432432432432434,-1.0,0,0,0,0.0,0.0,1951.0,27.0,5,0,0
1381827,725302,65837,1,"University of Minnesota, Twin Cities",130238516.0,1987,1992,10,2,0,-1,0,0,183,1960.0,3.0,6747,110.6065573770492,304,4.9836065573770485,-1.0,0,0,0,0.0,0.0,1992.0,32.0,21,0,0
1382327,724476,455461,1,California Institute of Technology,122411786.0,-1,1970,2,2,1,-1,1,1,9,1975.0,0.3461538461538461,77,2.9615384615384617,6,0.2307692307692308,-1.0,0,0,0,0.0,0.0,1970.0,-5.0,0,0,0
