First5YearPubsOfMentee,First5YearCitationOfMentee,First5YearCollaOfMentee,CollaPubsOfWithMentor,TotalPubsOfMentor,TotalCitationOfMentor,TotalCollaOfMentor,YearlyPubsOfMentor,YearlyCitationOfMentor,YearllyCollaOfMentor,PubsOfMentorInTraning,CareerAgeOfMentorInTraining
0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0
3.0,56.0,4.0,1.0,78.0,100,76.0,1.8113207547169807,51.0,2,9.0,15
8.0,284.0,11.0,4.0,237.0,3000,250.0,4.531914893617022,184.82142857142856,8,32.0,25
134.0,232661.0,294.0,77.0,3290.0,309472,4303.0,80.24390243902441,6393.69696969697,88,561.0,50
