CID,MenteeID,MentorID,MentorshipType,Institution,InstitutionMAGID,StartYear,StopYear,NumOfMenteesOfTheMentor,NumOfMenteesOfTheMentor10,NumOfMenteesOfTheMenteeIn20,BigOrSmall,Survival0,Survival1,TotalPubsOfMentor,YearOfTheFirstPubsOfMentorPubs,YearlyPubsOfMentor,TotalCitationOfMentor,YearlyCitationOfMentor,TotalCollaOfMentor,YearllyCollaOfMentor,YearOfTheFirstPubsOfMenteePubs,First5YearPubsOfMentee,First5YearCitationOfMentee,First5YearCollaOfMentee,YearlyPubsOfMentee,YearlyCitationOfMentee,BirthYearOfMentee,CareerAgeOfMentorInTraining,PubsOfMentorInTraning,CollaPubsOfWithMentor,TotalCitationOfMentee
1703897,817248,817249,1,Universidad Complutense de Madrid (Spain),,1989,1993,1,1,4,0,1,1,0,-1.0,0.0,0,0.0,0,0.0,-1.0,0,0,0,0.0,0.0,1993.0,-1.0,0,0,0
1703898,817248,52160,1,University of Surrey (United Kingdom),28290843.0,1990,1993,2,1,4,0,1,1,193,1979.0,4.488372093023256,11003,255.88372093023256,275,6.395348837209302,-1.0,0,0,0,0.0,0.0,1993.0,14.0,34,0,0
1703899,817248,67313,2,University of Toronto,185261750.0,1993,1995,3,1,5,0,1,1,88,1984.0,2.5142857142857142,7920,226.28571428571428,122,3.4857142857142858,-1.0,0,0,0,0.0,0.0,1995.0,11.0,28,0,0
1704061,522594,587172,1,The University of Texas Graduate School of Biomedical Sciences at Houston,919571938.0,-1,1989,8,2,0,-1,0,0,372,1974.0,7.75,21633,450.6875,617,12.854166666666666,1984.0,7,180,25,5.842105263157895,394.6842105263158,1984.0,15.0,42,6,14998
1704660,817464,587172,1,The University of Texas Health Science Center at Houston,919571938.0,-1,1990,8,2,0,-1,0,0,372,1974.0,7.75,21633,450.6875,617,12.854166666666666,1989.0,3,348,8,3.9696969696969697,276.93939393939394,1989.0,16.0,39,1,9139
1704811,178213,178094,1,Stanford University,97018004.0,-1,1984,10,1,0,0,0,0,225,1973.0,5.769230769230769,29681,761.0512820512821,183,4.6923076923076925,1981.0,14,1352,13,6.195121951219512,717.7560975609756,1981.0,11.0,56,5,29428
1705178,817589,70101,3,Rockefeller University,83399316.0,-1,1979,20,3,0,-1,0,0,522,1971.0,10.235294117647058,113607,2227.5882352941176,770,15.098039215686274,1969.0,4,214,5,2.255813953488372,601.5348837209302,1969.0,8.0,18,3,25866
1705766,817738,817742,1,The University of Newcastle (Australia),,1990,1994,1,1,3,0,1,1,0,-1.0,0.0,0,0.0,0,0.0,1992.0,3,60,4,10.533333333333333,343.3666666666667,1992.0,-1.0,0,0,10301
1705768,817738,817743,1,Sichuan University (PRC),24185976.0,1983,1986,1,1,1,0,1,1,19,1998.0,1.1875,228,14.25,49,3.0625,1992.0,3,60,4,10.533333333333333,343.3666666666667,1986.0,-12.0,0,0,10301
1705909,70601,807655,1,McGill University,5023651.0,-1,1990,11,1,3,0,1,1,558,1973.0,11.387755102040817,34775,709.6938775510204,642,13.10204081632653,1990.0,7,464,19,6.90625,815.03125,1990.0,17.0,28,0,26081
1705917,70601,565612,1,McGill University,5023651.0,-1,1986,1,1,3,0,1,1,50,1987.0,1.7857142857142858,3664,130.85714285714286,68,2.4285714285714284,1990.0,7,464,19,6.90625,815.03125,1986.0,-1.0,2,0,26081
1705961,38231,817800,1,University of Pittsburgh,170201317.0,1984,1986,1,1,1,0,1,1,154,1968.0,2.9056603773584904,10418,196.56603773584905,171,3.2264150943396226,1989.0,8,397,14,8.363636363636363,638.1212121212121,1986.0,18.0,21,0,21058
1705963,38231,817801,2,Brown University,27804330.0,1992,1993,1,1,2,0,1,1,295,1958.0,4.609375,33160,518.125,397,6.203125,1989.0,8,397,14,8.363636363636363,638.1212121212121,1989.0,35.0,24,0,21058
1707056,818094,4918,1,California Institute of Technology,122411786.0,-1,1986,10,1,1,0,1,1,120,1972.0,2.4489795918367347,29356,599.1020408163265,188,3.836734693877551,1983.0,5,2477,7,3.6666666666666665,285.43589743589746,1983.0,14.0,16,5,11132
1707496,762472,1686,1,California Institute of Technology,122411786.0,-1,1983,2,1,1,0,1,1,61,1972.0,2.3461538461538463,8418,323.7692307692308,85,3.269230769230769,1980.0,11,991,13,2.8333333333333335,320.5238095238095,1980.0,11.0,14,7,13462
1707665,818263,55515,1,Stanford University,97018004.0,-1,1989,12,2,0,-1,0,0,209,1965.0,4.019230769230769,33468,643.6153846153846,273,5.25,1992.0,12,6210,24,2.966666666666667,832.3,1989.0,24.0,43,0,24969
1707668,818263,13798,2,Massachusetts Institute of Technology,63966007.0,-1,1994,18,2,0,-1,0,0,124,1985.0,3.3513513513513513,33712,911.1351351351351,252,6.8108108108108105,1992.0,12,6210,24,2.966666666666667,832.3,1992.0,9.0,21,6,24969
1707681,818267,27589,2,"University of Buenos Aires, Faculty of Sciences",24354313.0,1992,1993,28,3,0,-1,0,0,880,1975.0,18.72340425531915,89473,1903.6808510638298,1585,33.723404255319146,1993.0,21,2382,48,2.0,122.78571428571429,1993.0,18.0,104,10,3438
1707682,80710,27589,2,Inha University,191879574.0,1994,1995,28,5,0,1,0,0,880,1975.0,18.72340425531915,89473,1903.6808510638298,1585,33.723404255319146,2002.0,12,684,43,5.35,274.85,1995.0,20.0,137,0,5497
1708065,83923,1257,3,,,1986,1993,12,3,0,-1,1,0,201,1970.0,3.9411764705882355,44528,873.0980392156863,204,4.0,1987.0,13,3750,14,3.6857142857142855,346.1142857142857,1987.0,23.0,36,14,12114
1710404,818848,50340,1,Indian Institue of Science,,1987,1992,3,1,0,0,0,0,175,1977.0,3.977272727272727,5705,129.6590909090909,231,5.25,2003.0,1,4,4,0.2631578947368421,8.0,1992.0,15.0,12,0,152
1709931,713259,688562,1,"Courant Institute, NYU",,1972,1976,1,1,0,0,1,0,169,1944.0,2.1666666666666665,40588,520.3589743589744,97,1.2435897435897436,1977.0,5,377,6,4.111111111111111,579.8222222222222,1976.0,32.0,19,0,26092
1710397,30596,818842,1,University College London,45129253.0,-1,1981,1,1,5,0,1,1,62,1977.0,1.5897435897435896,9481,243.10256410256412,89,2.282051282051282,1984.0,14,4005,22,11.447368421052632,4317.289473684211,1981.0,4.0,10,0,164057
1710922,51707,1276,1,Yale University,32971472.0,-1,1990,16,2,0,-1,0,0,1340,1971.0,26.274509803921568,143449,2812.725490196078,539,10.568627450980392,1987.0,1,206,2,2.0,172.6,1987.0,19.0,92,0,6041
1712089,52688,819345,1,University of Rochester,5388228.0,-1,1988,1,1,4,0,1,1,185,1967.0,4.111111111111111,21855,485.6666666666667,123,2.7333333333333334,1989.0,8,622,8,3.1818181818181817,340.6060606060606,1988.0,21.0,32,0,11240
1712400,819405,2445,1,,,1987,1992,5,3,0,-1,0,0,60,1976.0,1.4634146341463414,7100,173.17073170731706,70,1.7073170731707317,1988.0,27,2383,59,6.117647058823529,594.0588235294117,1988.0,16.0,19,4,20198
1712401,819405,1816,1,,,1987,1992,12,1,0,0,0,0,366,1983.0,9.384615384615385,46724,1198.051282051282,403,10.333333333333334,1988.0,27,2383,59,6.117647058823529,594.0588235294117,1988.0,9.0,13,3,20198
1712553,760153,532323,1,Arizona State University,55732556.0,-1,1977,3,1,0,0,0,0,36,1971.0,0.8571428571428571,3970,94.52380952380952,43,1.0238095238095237,2013.0,2,2,4,0.42857142857142855,0.2857142857142857,1977.0,6.0,8,0,2
1712710,819527,6604,1,"University of California, Los Angeles",161318765.0,-1,1995,8,2,0,-1,0,0,187,1956.0,3.0161290322580645,20787,335.2741935483871,126,2.032258064516129,2002.0,1,6,3,1.0,6.0,1995.0,39.0,30,0,6
1712953,819600,360422,0,Ohio State University (USA),52357470.0,1990,1992,3,1,0,0,0,0,0,-1.0,0.0,0,0.0,0,0.0,2018.0,4,12,16,1.0,3.0,1992.0,-1.0,0,0,12
1713380,819744,819748,1,"Washington University, Saint Louis",204465549.0,-1,1985,1,1,1,0,1,1,74,1978.0,1.7209302325581395,3516,81.76744186046511,22,0.5116279069767442,1984.0,5,2,1,0.4782608695652174,7.0,1984.0,7.0,7,0,161
1714474,67265,17858,2,,,1979,1981,18,3,0,-1,0,0,389,1966.0,6.946428571428571,161320,2880.714285714286,373,6.660714285714286,1981.0,16,7864,17,4.219512195121951,1320.3658536585365,1981.0,15.0,28,4,54135
1714793,813582,64418,1,University of Amsterdam,887064364.0,-1,1989,7,4,0,1,0,0,155,1976.0,3.522727272727273,12787,290.6136363636364,163,3.7045454545454546,-1.0,0,0,0,0.0,0.0,1989.0,13.0,8,0,0
1714795,813339,64418,1,Vrije Universiteit Amsterdam,865915315.0,-1,1991,7,4,0,-1,0,0,155,1976.0,3.522727272727273,12787,290.6136363636364,163,3.7045454545454546,1988.0,1,16,1,2.7941176470588234,241.76470588235293,1988.0,15.0,15,0,8220
1714797,813342,64418,1,University of Amsterdam,887064364.0,-1,1992,7,4,0,-1,0,0,155,1976.0,3.522727272727273,12787,290.6136363636364,163,3.7045454545454546,1995.0,14,287,14,3.3461538461538463,156.76923076923077,1992.0,16.0,19,0,4076
1715098,118262,9836,1,"University of California, Berkeley",95457486.0,1983,1985,4,2,11,-1,1,1,199,1954.0,3.3728813559322033,4200,71.1864406779661,147,2.4915254237288136,1980.0,10,394,12,10.19047619047619,122.16666666666667,1980.0,31.0,36,7,5131
1715101,118262,1175,1,"University of California, Berkeley",95457486.0,1979,1984,9,2,11,-1,1,1,396,1957.0,7.764705882352941,33062,648.2745098039215,320,6.2745098039215685,1980.0,10,394,12,10.19047619047619,122.16666666666667,1980.0,27.0,67,4,5131
1715257,820292,5401,2,"University of California, Berkeley",95457486.0,1990,1995,14,2,0,-1,0,0,83,1983.0,2.8620689655172415,11907,410.58620689655174,65,2.2413793103448274,1994.0,2,382,3,2.0,382.0,1994.0,12.0,13,2,382
1715409,5679,820331,1,University of Amsterdam,887064364.0,-1,1988,1,1,0,0,1,0,0,-1.0,0.0,0,0.0,0,0.0,1986.0,1,0,7,0.7222222222222222,5.5,1986.0,-1.0,0,0,198
1715410,5679,820332,1,University of Amsterdam,887064364.0,-1,1988,1,1,0,0,1,0,1,1996.0,1.0,0,0.0,2,2.0,1986.0,1,0,7,0.7222222222222222,5.5,1986.0,-8.0,0,0,198
1717199,635233,109087,1,University of North Carolina at Chapel Hill School of Medicine,114027177.0,1979,1981,1,1,0,0,1,0,1,2003.0,1.0,6,6.0,2,2.0,1977.0,4,128,5,3.3555555555555556,400.9111111111111,1977.0,-22.0,0,0,18041
108959,85024,15992,1,University of Texas at Austin,86519309.0,-1,1986,3,1,15,0,1,1,157,1959.0,2.5737704918032787,23627,387.327868852459,86,1.4098360655737705,1983.0,12,417,21,5.384615384615385,502.64102564102564,1983.0,27.0,16,0,19603
1717736,820976,19578,1,The University of Northern Colorado,71966907.0,-1,1995,32,7,0,1,0,0,86,1986.0,2.388888888888889,1269,35.25,94,2.611111111111111,-1.0,0,0,0,0.0,0.0,1995.0,9.0,13,0,0
1717738,820977,19578,1,The University of Northern Colorado,71966907.0,-1,1995,32,7,0,1,0,0,86,1986.0,2.388888888888889,1269,35.25,94,2.611111111111111,1992.0,7,138,9,1.04,17.76,1992.0,9.0,13,4,444
1717744,820980,19578,1,Mississippi State  University,99041443.0,-1,1990,32,2,0,-1,0,0,86,1986.0,2.388888888888889,1269,35.25,94,2.611111111111111,1994.0,2,36,4,0.3333333333333333,6.0,1990.0,4.0,15,0,36
1717762,311357,19578,1,The University of Northern Colorado,71966907.0,-1,1993,32,6,0,1,0,0,86,1986.0,2.388888888888889,1269,35.25,94,2.611111111111111,1991.0,4,515,5,1.4838709677419355,46.483870967741936,1991.0,7.0,12,0,1441
1717938,27207,5466,2,McGill University,5023651.0,1992,1994,18,3,1,-1,1,1,156,1985.0,4.216216216216216,8924,241.1891891891892,101,2.72972972972973,1990.0,7,472,4,0.96875,45.5625,1990.0,9.0,14,1,1458
1718032,10099,1255,1,University of Alabama at Birmingham School of Optometry,32389192.0,1985,1987,1,1,2,0,1,1,12,1972.0,0.5,2369,98.70833333333333,12,0.5,1983.0,3,248,12,1.4864864864864864,148.40540540540542,1983.0,15.0,5,0,5491
1718054,10099,49239,1,,,1987,1990,2,1,3,0,1,1,74,1977.0,1.6444444444444444,3789,84.2,73,1.6222222222222222,1983.0,3,248,12,1.4864864864864864,148.40540540540542,1983.0,13.0,7,2,5491
1718136,7802,821110,1,University of Surrey,28290843.0,-1,1980,1,1,0,0,0,0,6,1985.0,2.0,158,52.666666666666664,4,1.3333333333333333,1980.0,9,746,2,2.3846153846153846,154.25641025641025,1980.0,-5.0,0,0,6016
1718836,551579,21733,1,University of Iowa,126307644.0,-1,1978,2,1,0,0,0,0,2,1963.0,0.6666666666666666,68,22.666666666666668,4,1.3333333333333333,1984.0,8,778,15,2.7,258.2,1978.0,15.0,0,0,7746
1718838,551579,821347,2,"University of California, San Francisco",180670191.0,-1,1981,2,1,0,0,0,0,156,1958.0,3.627906976744186,11488,267.16279069767444,172,4.0,1984.0,8,778,15,2.7,258.2,1981.0,23.0,23,0,7746
1718895,63380,752215,1,"University of Washington, Seattle",201448701.0,1983,1985,2,1,2,0,1,1,120,1975.0,2.5531914893617023,20719,440.82978723404256,109,2.3191489361702127,1995.0,11,1015,11,1.7894736842105263,125.05263157894737,1985.0,10.0,9,0,2376
1718965,31760,60556,1,Utrecht University,193662353.0,1989,1991,8,2,0,-1,0,0,407,1975.0,8.659574468085106,35338,751.8723404255319,803,17.085106382978722,1985.0,15,675,26,5.378378378378378,749.7027027027027,1985.0,16.0,76,8,27739
1719394,3261,1581,1,,,-1,1995,9,2,1,-1,1,1,102,1958.0,1.8214285714285714,6681,119.30357142857143,95,1.6964285714285714,1997.0,8,2150,12,0.8947368421052632,158.6315789473684,1995.0,37.0,8,0,3014
1722757,17458,2933,1,Emory University,150468666.0,-1,1992,3,1,7,0,1,1,67,1974.0,2.310344827586207,5381,185.55172413793105,71,2.4482758620689653,1989.0,17,2529,31,2.7037037037037037,426.77777777777777,1989.0,18.0,12,6,11523
1720228,572421,11215,1,Rockefeller University,83399316.0,1983,1989,6,2,3,-1,1,1,256,1976.0,5.565217391304348,34037,739.9347826086956,341,7.413043478260869,1987.0,9,1870,20,1.0857142857142856,186.2,1987.0,13.0,34,3,6517
1720319,10956,5067,1,,,1988,1989,10,2,9,-1,1,1,180,1978.0,4.090909090909091,26969,612.9318181818181,295,6.704545454545454,2006.0,3,622,13,2.0,91.25,1989.0,11.0,19,0,1460
1720527,649300,70101,2,Rockefeller University,83399316.0,1978,1982,20,4,0,1,0,0,522,1971.0,10.235294117647058,113607,2227.5882352941176,770,15.098039215686274,1975.0,6,748,10,7.9787234042553195,1092.8297872340424,1975.0,11.0,23,8,51363
1720717,195121,18772,1,"University of Maryland, College Park",66946132.0,-1,1988,16,4,0,1,0,0,124,1982.0,3.1,6181,154.525,129,3.225,1988.0,5,544,4,3.235294117647059,236.5,1988.0,6.0,12,2,8041
1720719,821910,18772,1,University of Virginia Charlottesville,,-1,1990,16,3,0,-1,0,0,124,1982.0,3.1,6181,154.525,129,3.225,-1.0,0,0,0,0.0,0.0,1990.0,8.0,11,0,0
