CID,MenteeID,MentorID,MentorshipType,Institution,InstitutionMAGID,StartYear,StopYear,NumOfMenteesOfTheMentor,NumOfMenteesOfTheMentor10,NumOfMenteesOfTheMenteeIn20,BigOrSmall,Survival0,Survival1,TotalPubsOfMentor,YearOfTheFirstPubsOfMentorPubs,YearlyPubsOfMentor,TotalCitationOfMentor,YearlyCitationOfMentor,TotalCollaOfMentor,YearllyCollaOfMentor,YearOfTheFirstPubsOfMenteePubs,First5YearPubsOfMentee,First5YearCitationOfMentee,First5YearCollaOfMentee,YearlyPubsOfMentee,YearlyCitationOfMentee,BirthYearOfMentee,CareerAgeOfMentorInTraining,PubsOfMentorInTraning,CollaPubsOfWithMentor
35424,25101,9539,1,University of Pennsylvania,79576946.0,-1,1981,25,2,2,-1,1,1,91,1961.0,1.4918032786885247,18266,299.4426229508197,84,1.3770491803278688,1978.0,4,440,4,6.363636363636362,645.5454545454545,1978.0,20.0,4,1
35509,25161,2482,2,"University of Washington, Seattle",201448701.0,1987,1989,27,5,0,1,0,0,223,1971.0,4.372549019607844,27563,540.4509803921569,270,5.294117647058823,1986.0,4,8,8,1.0285714285714285,69.6,1986.0,18.0,38,0
35511,25165,23794,1,University of Texas at Austin,86519309.0,-1,1988,7,1,4,-1,1,1,129,1975.0,3.071428571428572,6429,153.07142857142858,91,2.1666666666666665,1983.0,18,1200,13,3.4736842105263164,149.3684210526316,1983.0,13.0,24,15
35540,25183,19501,1,Carnegie Mellon University,74973139.0,1991,1995,16,6,4,1,1,1,326,1974.0,6.791666666666668,40273,839.0208333333335,261,5.4375,1990.0,10,271,5,1.5,113.53333333333332,1990.0,21.0,34,3
35636,823,2853,0,Columbia University,78577930.0,1984,1984,21,1,8,-1,1,1,152,1977.0,3.3777777777777778,36366,808.1333333333333,249,5.533333333333332,1982.0,5,76,11,3.7,1012.425,1982.0,7.0,8,0
35672,25271,26352,1,University of Groningen,169381384.0,-1,1977,22,6,0,1,1,0,333,1961.0,5.55,50219,836.9833333333332,140,2.333333333333333,1979.0,10,0,1,10.0,0.0,1977.0,16.0,40,0
35673,25271,23864,1,University of Groningen,169381384.0,-1,1977,5,4,0,1,1,0,42,1964.0,0.875,4764,99.25,30,0.625,1979.0,10,0,1,10.0,0.0,1977.0,13.0,6,0
35675,25272,26352,1,University of Groningen,169381384.0,-1,1977,22,6,0,1,1,0,333,1961.0,5.55,50219,836.9833333333332,140,2.333333333333333,1984.0,4,175,5,1.8125,96.65625,1977.0,16.0,40,0
35676,25272,23864,1,University of Groningen,169381384.0,-1,1977,5,4,0,1,1,0,42,1964.0,0.875,4764,99.25,30,0.625,1984.0,4,175,5,1.8125,96.65625,1977.0,13.0,6,0
35679,25274,23864,1,University of Groningen,169381384.0,-1,1986,5,1,0,-1,0,0,42,1964.0,0.875,4764,99.25,30,0.625,1984.0,6,260,6,0.6428571428571429,49.39285714285714,1984.0,22.0,7,5
35692,25283,19387,1,Department of Physiology-Univ. of Pavia,,1992,1994,21,1,5,0,1,1,331,1989.0,10.030303030303033,16035,485.9090909090909,585,17.727272727272727,1991.0,5,264,14,2.0,154.1851851851852,1991.0,5.0,15,2
35699,19387,25289,3,UCL (London),,1989,1990,5,1,11,-1,1,1,174,1982.0,4.461538461538462,33575,860.8974358974359,189,4.846153846153847,1989.0,13,684,15,10.030303030303033,485.9090909090909,1989.0,8.0,41,1
35701,19387,600,3,University of Oslo,184942183.0,1991,1991,19,2,11,-1,1,1,177,1949.0,2.424657534246576,34774,476.35616438356163,263,3.602739726027397,1989.0,13,684,15,10.030303030303033,485.9090909090909,1989.0,42.0,15,0
35759,25331,19,1,Massachusetts Institute of Technology,63966007.0,1988,1994,60,4,7,-1,1,1,304,1978.0,6.909090909090909,66213,1504.840909090909,339,7.704545454545454,1996.0,4,669,7,2.2857142857142856,347.0476190476191,1994.0,16.0,35,1
35770,25331,252,0,Columbia University,78577930.0,1987,1988,12,2,7,-1,1,1,119,1968.0,2.38,13649,272.98,90,1.8,1996.0,4,669,7,2.2857142857142856,347.0476190476191,1988.0,20.0,13,0
35778,12657,12654,1,Massachusetts Institute of Technology,63966007.0,-1,1995,33,1,2,0,1,1,202,1975.0,4.297872340425532,48315,1027.978723404255,168,3.574468085106384,1992.0,6,2536,10,14.233333333333333,812.2,1992.0,20.0,21,3
