CID,MenteeID,MentorID,MentorshipType,Institution,InstitutionMAGID,StartYear,StopYear,NumOfMenteesOfTheMentor,NumOfMenteesOfTheMentor10,NumOfMenteesOfTheMenteeIn20,BigOrSmall,Survival0,Survival1,TotalPubsOfMentor,YearOfTheFirstPubsOfMentorPubs,YearlyPubsOfMentor,TotalCitationOfMentor,YearlyCitationOfMentor,TotalCollaOfMentor,YearllyCollaOfMentor,YearOfTheFirstPubsOfMenteePubs,First5YearPubsOfMentee,First5YearCitationOfMentee,First5YearCollaOfMentee,YearlyPubsOfMentee,YearlyCitationOfMentee,BirthYearOfMentee,CareerAgeOfMentorInTraining,PubsOfMentorInTraning,CollaPubsOfWithMentor
6,18761,9,1,"University of California, Berkeley",95457486.0,-1,1984,1,1,4,-1,1,1,98,1963.0,2.5128205128205128,10469,268.43589743589746,139,3.5641025641025643,1986.0,19,1487,25,7.666666666666668,880.6111111111113,1984.0,21.0,3,0
37,44,43,1,"University of California, Berkeley",95457486.0,-1,1985,27,5,9,1,1,1,157,1966.0,3.0192307692307687,23973,461.01923076923083,97,1.865384615384616,1986.0,5,477,9,3.75,1607.7777777777774,1985.0,19.0,30,2
40,46,43,1,"University of California, Berkeley",95457486.0,-1,1992,27,1,8,-1,1,1,157,1966.0,3.0192307692307687,23973,461.01923076923083,97,1.865384615384616,2010.0,1,0,1,1.0,0.0,1992.0,26.0,20,0
61,10,140,1,Johns Hopkins University,145311948.0,-1,1989,18,3,8,1,1,1,74,1973.0,1.574468085106383,12926,275.0212765957447,113,2.404255319148936,-1.0,0,0,0,0.0,0.0,1989.0,16.0,4,0
77,77,76,1,"University of California, San Diego",36258959.0,1991,1995,87,12,9,1,1,1,922,1969.0,17.39622641509434,198249,3740.5471698113206,1056,19.924528301886788,1990.0,10,6032,11,3.8125,722.78125,1990.0,26.0,140,7
87,87,52,2,University of Cambridge,241749.0,1986,1990,7,1,2,-1,1,1,136,1972.0,2.833333333333333,18899,393.72916666666674,116,2.4166666666666665,1979.0,10,311,16,6.627906976744188,907.2558139534883,1979.0,18.0,8,0
96,92,43,1,"University of California, Berkeley",95457486.0,1979,1986,27,5,2,1,1,1,157,1966.0,3.0192307692307687,23973,461.01923076923083,97,1.865384615384616,1982.0,14,3732,10,3.2051282051282053,376.8205128205129,1982.0,20.0,31,14
103,100,102,1,Eberhard Karls Universität Tübingen,8087733.0,-1,1982,40,3,26,1,1,1,657,1972.0,13.14,145221,2904.42,371,7.42,1982.0,36,15419,23,20.025,4397.05,1982.0,10.0,53,15
149,40,139,1,California Institute of Technology,122411786.0,-1,1980,12,2,7,-1,1,1,22,2001.0,2.2,3963,396.3,49,4.9,1980.0,10,5600,14,3.4047619047619047,1522.5,1980.0,-21.0,0,0
235,208,210,1,Massachusetts Institute of Technology,63966007.0,1987,1993,21,4,45,1,1,1,247,1965.0,4.333333333333333,67723,1188.122807017544,153,2.6842105263157894,1987.0,13,4370,9,7.9714285714285715,3235.3142857142852,1987.0,28.0,36,3
256,224,25,2,National Institutes of Health,1299303238.0,1992,1994,39,2,2,-1,1,1,266,1979.0,6.186046511627908,95366,2217.8139534883717,336,7.813953488372092,1987.0,15,594,22,3.1428571428571432,524.4285714285714,1987.0,15.0,42,5
268,236,235,1,"University of California, San Diego",36258959.0,-1,1985,23,12,29,1,1,1,350,1962.0,5.833333333333332,100785,1679.75,251,4.183333333333334,1986.0,20,10989,41,28.277777777777786,7979.25,1985.0,23.0,43,0
270,9798,236,2,Massachusetts Institute of Technology,63966007.0,1992,1995,46,6,14,1,1,1,1018,1986.0,28.277777777777786,287253,7979.25,705,19.58333333333333,1988.0,6,2121,9,8.382352941176471,2375.0,1988.0,9.0,76,7
278,246,245,2,"University of California, Berkeley",95457486.0,1989,1990,43,5,18,1,1,1,301,1938.0,3.583333333333333,47563,566.2261904761905,185,2.202380952380953,1970.0,3,10,7,7.134615384615384,800.3653846153846,1970.0,52.0,30,0
279,246,242,2,Brandeis University,6902469.0,-1,1995,34,3,21,-1,1,1,154,1973.0,3.208333333333333,34776,724.5,176,3.6666666666666665,1970.0,3,10,7,7.134615384615384,800.3653846153846,1970.0,22.0,31,0
283,249,250,2,National Institutes of Health,1299303238.0,1981,1982,4,1,3,-1,1,1,29,1955.0,0.5576923076923077,14233,273.71153846153845,18,0.3461538461538461,1949.0,3,78,2,1.0410958904109588,83.53424657534245,1949.0,27.0,1,0
284,249,251,2,National Institutes of Health,1299303238.0,1981,1982,22,1,3,-1,1,1,255,1973.0,5.204081632653062,30572,623.9183673469388,257,5.244897959183674,1949.0,3,78,2,1.0410958904109588,83.53424657534245,1949.0,9.0,21,0
285,249,252,1,"University of California, San Diego",36258959.0,-1,1980,12,4,2,1,1,1,119,1968.0,2.38,13649,272.98,90,1.8,1949.0,3,78,2,1.0410958904109588,83.53424657534245,1949.0,12.0,12,3
286,253,254,1,"State University of New York, Albany",392282.0,-1,1984,11,3,0,1,1,0,77,1972.0,1.673913043478261,7963,173.1086956521739,92,2.0,1991.0,1,278,3,0.7368421052631579,48.631578947368425,1984.0,12.0,20,0
306,13297,24297,1,Yale University,32971472.0,-1,1986,39,21,0,1,0,0,254,1974.0,5.291666666666667,44807,933.4791666666664,219,4.5625,1996.0,21,6890,59,5.0,563.6538461538463,1986.0,12.0,66,0
314,274,276,1,"University of California, San Francisco",180670191.0,-1,1989,32,2,8,-1,1,1,179,1972.0,3.58,47652,953.04,219,4.38,1988.0,12,1875,9,4.823529411764706,532.7941176470588,1988.0,17.0,25,6
316,277,112,1,Harvard University,136199984.0,1978,1983,19,4,1,1,1,1,117,1957.0,2.0172413793103448,113126,1950.448275862069,27,0.4655172413793103,1978.0,4,1172,5,4.113636363636363,364.8863636363636,1978.0,26.0,12,1
317,277,64,1,Harvard University,136199984.0,1978,1983,32,7,1,1,1,1,94,1958.0,1.5666666666666669,109612,1826.8666666666666,92,1.5333333333333334,1978.0,4,1172,5,4.113636363636363,364.8863636363636,1978.0,25.0,11,0
320,280,281,2,University of Utah,223532165.0,1982,1983,8,1,8,-1,1,1,41,1985.0,2.1578947368421053,11228,590.9473684210526,49,2.5789473684210527,1979.0,15,2869,17,15.627906976744184,1098.2790697674418,1979.0,-2.0,2,2
326,286,24297,2,Yale University,32971472.0,1980,1982,39,18,0,1,0,0,254,1974.0,5.291666666666667,44807,933.4791666666664,219,4.5625,1978.0,10,1217,16,2.386363636363636,161.36363636363637,1978.0,8.0,37,3
328,288,142,1,"University of California, Berkeley",95457486.0,-1,1985,15,3,8,1,1,1,51,1962.0,0.9622641509433962,12950,244.33962264150944,36,0.6792452830188679,1977.0,11,1378,11,4.177777777777779,1120.8666666666666,1977.0,23.0,8,1
352,314,315,2,Columbia University,78577930.0,1982,1991,68,3,6,-1,1,1,276,1967.0,5.0181818181818185,93387,1697.9454545454544,461,8.381818181818181,1976.0,1,34,6,1.7391304347826086,687.7391304347825,1976.0,24.0,60,5
356,320,315,2,Columbia University,78577930.0,1993,1995,68,2,4,-1,1,1,276,1967.0,5.0181818181818185,93387,1697.9454545454544,461,8.381818181818181,1993.0,2,382,5,4.0344827586206895,833.8275862068965,1993.0,28.0,36,0
362,329,327,2,"University of California, Berkeley",95457486.0,1988,1992,49,8,25,1,1,1,489,1974.0,10.1875,132201,2754.1875,800,16.666666666666668,1988.0,8,1535,14,7.117647058823527,1007.7941176470587,1988.0,18.0,78,6
363,330,327,2,"University of California, San Francisco",180670191.0,1990,1994,49,7,10,1,1,1,489,1974.0,10.1875,132201,2754.1875,800,16.666666666666668,1988.0,11,12671,17,7.9411764705882355,3143.0882352941176,1988.0,20.0,95,7
366,334,331,2,Columbia University,78577930.0,1986,1989,93,10,17,1,1,1,626,1961.0,10.262295081967213,204955,3359.918032786885,991,16.24590163934426,1987.0,6,653,16,6.529411764705883,1537.3235294117646,1987.0,28.0,72,2
385,65654,351,2,California Institute of Technology,122411786.0,1988,1991,24,4,23,1,1,1,203,1981.0,5.8,22922,654.9142857142857,250,7.142857142857142,1987.0,11,3385,8,10.2,1347.1714285714286,1987.0,10.0,42,5
387,65654,70,1,University of Oxford,40120149.0,1984,1988,23,1,22,-1,1,1,673,1969.0,12.698113207547168,136040,2566.7924528301887,438,8.264150943396226,1987.0,11,3385,8,10.2,1347.1714285714286,1987.0,19.0,51,5
394,334,361,1,Vanderbilt University,200719446.0,1982,1986,8,4,12,1,1,1,136,1973.0,2.9565217391304346,16614,361.1739130434783,207,4.5,1987.0,6,653,16,6.529411764705883,1537.3235294117646,1986.0,13.0,22,0
406,351,367,1,"University of Wisconsin, Madison",135310074.0,-1,1981,3,1,19,-1,1,1,34,1959.0,0.6938775510204082,4864,99.26530612244898,47,0.9591836734693876,1981.0,6,1245,7,5.8,654.9142857142857,1981.0,22.0,10,1
409,351,369,1,"University of Wisconsin, Madison",135310074.0,-1,1981,4,1,19,-1,1,1,49,1977.0,1.2564102564102564,9436,241.94871794871798,63,1.6153846153846154,1981.0,6,1245,7,5.8,654.9142857142857,1981.0,4.0,8,2
433,397,398,1,"University of Michigan, Ann Arbor",27837315.0,1980,1985,29,3,22,1,1,1,244,1970.0,4.6923076923076925,81783,1572.75,334,6.4230769230769225,1982.0,8,4340,12,4.0256410256410255,950.6666666666664,1982.0,15.0,17,5
446,409,385,1,"University of California, San Francisco",180670191.0,-1,1982,43,1,7,-1,1,1,339,1938.0,4.035714285714286,89214,1062.0714285714287,471,5.607142857142856,1980.0,5,1956,6,2.6904761904761907,361.66666666666674,1980.0,44.0,32,1
447,409,179,2,Stanford University,97018004.0,1982,1985,22,2,8,-1,1,1,155,1974.0,3.297872340425532,24839,528.4893617021277,80,1.702127659574468,1980.0,5,1956,6,2.6904761904761907,361.66666666666674,1980.0,11.0,16,0
448,179,90,2,California Institute of Technology,122411786.0,1976,1979,34,1,5,-1,1,1,1,2003.0,1.0,0,0.0,2,2.0,1974.0,13,3386,4,3.297872340425532,528.4893617021277,1974.0,-24.0,0,0
449,179,410,1,"University of California, San Diego",36258959.0,1973,1976,24,6,4,1,1,1,0,-1.0,0.0,0,0.0,0,0.0,1974.0,13,3386,4,3.297872340425532,528.4893617021277,1974.0,-1.0,0,0
456,212,210,2,Massachusetts Institute of Technology,63966007.0,1987,1989,21,3,18,1,1,1,247,1965.0,4.333333333333333,67723,1188.122807017544,153,2.6842105263157894,1983.0,8,2177,11,8.102564102564102,1670.051282051282,1983.0,24.0,27,2
457,210,97,2,New York University,57206974.0,1979,1981,50,2,12,-1,1,1,190,1974.0,3.9583333333333335,32176,670.3333333333334,177,3.6875,1965.0,1,0,1,4.333333333333333,1188.122807017544,1965.0,7.0,12,2
487,446,112,1,Harvard Medical School,136199984.0,-1,1976,19,5,8,1,1,1,117,1957.0,2.0172413793103448,113126,1950.448275862069,27,0.4655172413793103,1977.0,9,3539,5,3.511111111111111,1170.3111111111114,1976.0,19.0,15,0
488,446,447,2,Harvard Medical School,136199984.0,1976,1978,23,2,8,-1,1,1,402,1965.0,7.052631578947367,129134,2265.5087719298244,620,10.87719298245614,1977.0,9,3539,5,3.511111111111111,1170.3111111111114,1977.0,13.0,22,0
513,473,102,1,Massachusetts Institute of Technology,63966007.0,-1,1989,40,6,3,1,1,1,657,1972.0,13.14,145221,2904.42,371,7.42,1980.0,4,123,3,4.048780487804878,126.46341463414636,1980.0,17.0,74,9
515,473,474,2,University of Oxford,40120149.0,1990,1991,13,2,4,-1,1,1,323,1980.0,7.690476190476191,16232,386.4761904761905,342,8.142857142857142,1980.0,4,123,3,4.048780487804878,126.46341463414636,1980.0,11.0,33,3
516,475,102,2,Massachusetts Institute of Technology,63966007.0,1990,1991,40,5,0,1,1,0,657,1972.0,13.14,145221,2904.42,371,7.42,1985.0,16,2459,7,5.702702702702703,519.8918918918919,1985.0,19.0,98,9
517,66369,102,2,Massachusetts Institute of Technology,63966007.0,1986,1988,40,6,6,1,1,1,657,1972.0,13.14,145221,2904.42,371,7.42,1985.0,37,1384,27,8.432432432432432,273.40540540540536,1985.0,16.0,74,0
518,100,102,2,Massachusetts Institute of Technology,63966007.0,1982,1984,40,4,35,1,1,1,657,1972.0,13.14,145221,2904.42,371,7.42,1982.0,36,15419,23,20.025,4397.05,1982.0,12.0,53,15
519,474,102,2,Massachusetts Institute of Technology,63966007.0,1984,1985,40,5,5,1,1,1,657,1972.0,13.14,145221,2904.42,371,7.42,1980.0,6,639,3,7.690476190476191,386.4761904761905,1980.0,13.0,55,0
520,102,477,3,Massachusetts Institute of Technology,63966007.0,1971,1981,4,1,17,-1,1,1,41,1969.0,0.9761904761904762,48906,1164.4285714285713,10,0.2380952380952381,1972.0,27,6679,9,13.14,2904.42,1972.0,12.0,17,7
533,388,76,1,Salk Institute for Biological Studies,1307098950.0,1991,1992,87,6,8,1,1,1,922,1969.0,17.39622641509434,198249,3740.5471698113206,1056,19.924528301886788,1991.0,3,310,5,4.741935483870968,952.9032258064516,1991.0,23.0,103,1
534,388,493,2,Rockefeller University,83399316.0,1989,1991,28,1,8,-1,1,1,565,1958.0,9.112903225806454,121654,1962.161290322581,387,6.241935483870968,1991.0,3,310,5,4.741935483870968,952.9032258064516,1991.0,33.0,85,1
535,388,494,1,The University of Alabama,17301866.0,1984,1988,10,2,6,-1,1,1,63,1976.0,1.3695652173913044,7053,153.32608695652175,117,2.5434782608695654,1991.0,3,310,5,4.741935483870968,952.9032258064516,1988.0,12.0,9,0
536,494,495,1,University of Illinois,,1972,1977,3,1,3,-1,1,1,0,-1.0,0.0,0,0.0,0,0.0,1976.0,6,1398,9,1.3695652173913044,153.32608695652175,1976.0,-1.0,0,0
537,494,24493,2,University of Virginia,51556381.0,1977,1979,26,1,3,-1,1,1,179,1971.0,3.5098039215686274,23575,462.2549019607843,168,3.294117647058824,1976.0,6,1398,9,1.3695652173913044,153.32608695652175,1976.0,8.0,22,1
585,540,418,2,Vanderbilt University,200719446.0,1989,1990,41,4,10,1,1,1,554,1970.0,10.653846153846152,82128,1579.3846153846155,408,7.8461538461538485,1986.0,13,4701,12,4.5,437.02777777777777,1986.0,20.0,51,11
594,521,547,1,University of Arizona,138006243.0,1989,1993,32,2,0,-1,0,0,280,1978.0,6.363636363636362,67778,1540.409090909091,561,12.75,1987.0,5,81,8,0.6285714285714286,150.02857142857144,1987.0,15.0,37,2
612,546,561,1,"University of California, Berkeley",95457486.0,1977,1982,1,1,4,-1,1,1,26,1973.0,0.7222222222222222,2664,74.0,19,0.5277777777777778,1988.0,15,2261,22,6.147058823529411,1389.588235294117,1982.0,9.0,10,0
621,570,37,2,National Institute of Mental Health,,1979,1982,23,1,3,-1,1,1,148,1968.0,2.792452830188679,48611,917.1886792452832,91,1.7169811320754718,1980.0,17,7225,9,5.595238095238094,1282.4285714285713,1980.0,14.0,10,7
623,571,572,1,"University of Illinois, Urbana-Champaign",157725225.0,1989,1995,11,2,11,-1,1,1,30,1982.0,0.9375,1624,50.75,32,1.0,1992.0,7,603,9,5.233333333333333,538.7,1992.0,13.0,6,4
651,47,549,1,Dalhousie University,129902397.0,-1,1978,7,2,9,-1,1,1,25,1983.0,3.125,3212,401.5,19,2.375,1977.0,13,4633,33,6.222222222222222,2012.7555555555555,1977.0,-5.0,0,0
668,606,554,2,Smith-Kettlewell Eye Research Institute,,1986,1989,44,3,14,1,1,1,322,1968.0,5.962962962962963,46721,865.2037037037038,274,5.074074074074074,1980.0,5,438,9,8.595238095238095,638.6190476190476,1980.0,21.0,23,11
699,321,368,2,Yale University,32971472.0,1988,1990,87,18,16,1,1,1,442,1963.0,7.491525423728813,61397,1040.627118644068,494,8.372881355932204,1987.0,14,2078,7,3.4,463.8285714285714,1987.0,27.0,38,9
709,643,41,1,University of Pennsylvania,79576946.0,-1,1993,11,1,5,-1,1,1,79,1968.0,1.6458333333333333,19454,405.29166666666674,61,1.2708333333333333,1993.0,9,1225,6,2.827586206896552,167.0689655172414,1993.0,25.0,15,2
752,1,685,0,New York State Department of Health,1298060332.0,1993,1994,8,1,7,-1,1,1,279,1973.0,5.6938775510204085,71280,1454.6938775510205,300,6.122448979591836,1997.0,2,1978,9,3.36,431.84,1994.0,21.0,24,0
760,689,85,1,Max Planck Institute Frankfurt,,1991,1994,45,12,0,1,1,0,662,1969.0,12.490566037735848,127795,2411.2264150943397,747,14.094339622641508,1993.0,18,2196,31,7.517241379310343,480.5172413793104,1993.0,25.0,88,1
761,689,691,1,Max Planck Institute Frankfurt,,1991,1994,56,1,0,-1,1,0,186,1984.0,4.894736842105263,42618,1121.5263157894738,299,7.86842105263158,1993.0,18,2196,31,7.517241379310343,480.5172413793104,1993.0,10.0,25,6
764,692,418,1,Vanderbilt University,200719446.0,1974,1978,41,3,8,1,1,1,554,1970.0,10.653846153846152,82128,1579.3846153846155,408,7.8461538461538485,1976.0,17,4572,12,7.239130434782607,1021.6739130434784,1976.0,8.0,42,16
765,692,418,2,Vanderbilt University,200719446.0,1978,1980,41,3,10,1,1,1,554,1970.0,10.653846153846152,82128,1579.3846153846155,408,7.8461538461538485,1976.0,17,4572,12,7.239130434782607,1021.6739130434784,1976.0,10.0,42,16
766,693,694,2,Johns Hopkins University,145311948.0,1986,1988,12,4,1,1,1,1,79,1947.0,1.490566037735849,24284,458.18867924528297,51,0.9622641509433962,1985.0,6,632,4,2.621621621621621,72.89189189189189,1985.0,41.0,24,3
768,696,47,2,University of Arizona,138006243.0,1992,1995,73,5,0,1,0,0,280,1977.0,6.222222222222222,90574,2012.7555555555555,450,10.0,2000.0,7,527,3,1.75,131.75,1995.0,18.0,52,0
770,696,695,2,University of Texas at Austin,86519309.0,1988,1989,13,3,0,1,0,0,100,1976.0,2.4390243902439024,8760,213.65853658536582,61,1.4878048780487805,2000.0,7,527,3,1.75,131.75,1989.0,13.0,17,0
779,709,167,1,"University of California, Berkeley",95457486.0,1977,1978,14,1,13,-1,1,1,138,1937.0,2.262295081967213,17620,288.85245901639337,83,1.360655737704918,1963.0,1,2,3,10.338983050847462,1031.1694915254238,1963.0,41.0,15,0
780,709,710,1,"University of California, Berkeley",95457486.0,1978,1984,24,2,20,-1,1,1,0,-1.0,0.0,0,0.0,0,0.0,1963.0,1,2,3,10.338983050847462,1031.1694915254238,1963.0,-1.0,0,0
794,719,276,1,"University of California, San Francisco",180670191.0,-1,1991,32,3,5,-1,1,1,179,1972.0,3.58,47652,953.04,219,4.38,1986.0,5,1059,6,1.3,200.86666666666667,1986.0,19.0,25,6
799,723,94,2,Rockefeller University,83399316.0,1993,1995,27,1,7,-1,1,1,95,1996.0,3.6538461538461537,21730,835.7692307692308,204,7.8461538461538485,1995.0,11,4611,14,3.6666666666666665,372.03703703703695,1995.0,-1.0,2,1
800,723,64,2,Rockefeller University,83399316.0,1993,1995,32,3,7,-1,1,1,94,1958.0,1.5666666666666669,109612,1826.8666666666666,92,1.5333333333333334,1995.0,11,4611,14,3.6666666666666665,372.03703703703695,1995.0,37.0,3,0
811,291,11989,1,Leiden University,121797337.0,1974,1976,1,1,0,-1,0,0,0,-1.0,0.0,0,0.0,0,0.0,-1.0,0,0,0,0.0,0.0,1976.0,-1.0,0,0
854,437,962,1,Delft University of Technology,98358874.0,-1,1992,2,2,0,-1,0,0,0,-1.0,0.0,0,0.0,0,0.0,-1.0,0,0,0,0.0,0.0,1992.0,-1.0,0,0
860,291,27341,1,Leiden University,121797337.0,1974,1976,4,2,0,-1,0,0,1,1984.0,1.0,130,130.0,4,4.0,-1.0,0,0,0,0.0,0.0,1976.0,-8.0,0,0
875,787,1899,1,University of Oxford,40120149.0,1990,1993,5,2,3,-1,1,1,519,1972.0,10.38,24707,494.14,582,11.64,1990.0,2,269,6,4.0625,324.9375,1990.0,21.0,39,1
879,404,582,2,Rockefeller University,83399316.0,1988,1991,29,2,22,-1,1,1,341,1991.0,18.944444444444443,21531,1196.1666666666667,51,2.833333333333333,1987.0,9,1652,6,5.0,1018.4571428571428,1987.0,0.0,7,3
890,811,812,2,"University of California, San Francisco",180670191.0,1984,1989,65,4,15,1,1,1,412,1969.0,7.773584905660377,150517,2839.9433962264147,460,8.679245283018869,1980.0,9,1166,10,7.857142857142858,3604.8809523809523,1980.0,20.0,49,20
913,844,846,1,Massachusetts Institute of Technology,63966007.0,1986,1994,4,1,23,-1,1,1,129,1969.0,3.071428571428572,10277,244.69047619047612,107,2.5476190476190474,1989.0,7,401,8,10.666666666666666,428.7878787878788,1989.0,25.0,25,2
920,859,297,1,Yale University,32971472.0,1982,1986,15,1,8,-1,1,1,0,-1.0,0.0,0,0.0,0,0.0,1993.0,30,12431,59,12.965517241379313,1611.7586206896551,1986.0,-1.0,0,0
933,874,873,1,Max-Planck Institute for Biological Cybernetics,,1987,1993,18,1,9,-1,1,1,281,1975.0,5.9787234042553195,34707,738.4468085106382,321,6.829787234042553,1990.0,4,80,2,3.5,550.4375,1990.0,18.0,37,4
962,894,898,1,Colorado State University,92446798.0,1986,1993,8,3,7,-1,1,1,65,1982.0,3.4210526315789487,12926,680.3157894736843,106,5.57894736842105,1990.0,7,1329,11,1.71875,129.40625,1990.0,11.0,32,5
965,900,899,2,"University of Texas, Houston",,1990,1992,23,2,13,-1,1,1,336,1965.0,5.894736842105262,26974,473.2280701754385,279,4.894736842105263,1995.0,17,4297,23,4.148148148148148,452.03703703703695,1992.0,27.0,52,0
968,902,899,1,"University of Texas, Houston",,1987,1992,23,2,0,-1,0,0,336,1965.0,5.894736842105262,26974,473.2280701754385,279,4.894736842105263,1991.0,5,605,17,1.0,95.5,1991.0,27.0,52,4
973,900,553,1,Johns Hopkins University,145311948.0,1984,1990,22,3,12,1,1,1,138,1938.0,1.6428571428571428,15761,187.6309523809524,126,1.5,1995.0,17,4297,23,4.148148148148148,452.03703703703695,1990.0,52.0,16,0
974,900,906,1,Johns Hopkins University,145311948.0,1984,1990,23,1,12,-1,1,1,89,1977.0,2.022727272727273,6528,148.36363636363637,151,3.4318181818181817,1995.0,17,4297,23,4.148148148148148,452.03703703703695,1990.0,13.0,7,0
975,900,907,2,University of Iowa,126307644.0,1992,1994,7,1,13,-1,1,1,47,1986.0,1.3823529411764706,17282,508.29411764705884,70,2.0588235294117645,1995.0,17,4297,23,4.148148148148148,452.03703703703695,1994.0,8.0,5,1
987,906,918,2,Vanderbilt University,200719446.0,1983,1985,5,2,15,-1,1,1,29,1938.0,0.5087719298245614,2447,42.92982456140351,37,0.6491228070175439,1977.0,4,300,11,2.022727272727273,148.36363636363637,1977.0,47.0,8,2
988,906,919,1,"University of Florida, Gainesville",33213144.0,1976,1982,4,2,10,-1,1,1,174,1973.0,3.625,14573,303.6041666666667,226,4.708333333333333,1977.0,4,300,11,2.022727272727273,148.36363636363637,1977.0,9.0,6,3
997,927,386,1,Stanford University,97018004.0,-1,1985,39,1,1,-1,1,1,260,1958.0,4.4827586206896575,51926,895.2758620689655,327,5.637931034482759,1979.0,10,597,21,2.142857142857143,390.07142857142856,1979.0,27.0,36,3
1015,941,931,2,Stanford University,97018004.0,1974,1977,22,6,0,1,1,0,86,1964.0,1.6538461538461535,12503,240.4423076923077,117,2.25,1976.0,3,148,4,0.5813953488372093,76.30232558139534,1976.0,13.0,6,1
1018,943,945,1,Stanford University,97018004.0,-1,1979,8,2,6,-1,1,1,13,1984.0,1.0,1994,153.38461538461542,9,0.6923076923076923,1992.0,5,1007,4,2.7333333333333334,288.6,1979.0,-5.0,0,0
1019,943,944,1,Stanford University,97018004.0,-1,1979,27,4,6,1,1,1,58,1961.0,1.0357142857142858,5593,99.875,74,1.3214285714285714,1992.0,5,1007,4,2.7333333333333334,288.6,1979.0,18.0,4,0
1020,943,931,2,Stanford University,97018004.0,1979,1981,22,3,7,1,1,1,86,1964.0,1.6538461538461535,12503,240.4423076923077,117,2.25,1992.0,5,1007,4,2.7333333333333334,288.6,1981.0,17.0,9,0
1021,943,947,2,University of Cambridge,241749.0,1981,1983,2,1,7,-1,1,1,26,1938.0,0.3661971830985916,5750,80.98591549295773,11,0.15492957746478872,1992.0,5,1007,4,2.7333333333333334,288.6,1983.0,45.0,7,0
1022,943,946,2,University of Cambridge,241749.0,1981,1983,5,2,7,-1,1,1,97,1938.0,1.1547619047619049,15679,186.65476190476195,96,1.1428571428571428,1992.0,5,1007,4,2.7333333333333334,288.6,1983.0,45.0,9,0
1030,953,331,2,Columbia University,78577930.0,1983,1990,93,11,5,1,1,1,626,1961.0,10.262295081967213,204955,3359.918032786885,991,16.24590163934426,1982.0,1,0,1,1.65,152.35,1982.0,29.0,71,0
1032,953,955,2,"University of California, Los Angeles",161318765.0,1980,1983,4,2,5,-1,1,1,52,1966.0,0.9285714285714286,4607,82.26785714285714,60,1.0714285714285714,1982.0,1,0,1,1.65,152.35,1982.0,17.0,6,0
1034,953,957,1,Stanford University,97018004.0,1976,1980,7,1,3,-1,1,1,21,1964.0,0.84,1278,51.12,27,1.08,1982.0,1,0,1,1.65,152.35,1980.0,16.0,6,0
1035,582,90,1,California Institute of Technology,122411786.0,-1,1984,34,3,14,1,1,1,1,2003.0,1.0,0,0.0,2,2.0,1991.0,21,10437,17,18.944444444444443,1196.1666666666667,1984.0,-19.0,0,0
1037,404,16,1,California Institute of Technology,122411786.0,1984,1988,22,1,20,-1,1,1,237,1970.0,4.557692307692308,101726,1956.2692307692307,398,7.6538461538461515,1987.0,9,1652,6,5.0,1018.4571428571428,1987.0,18.0,16,4
1038,902,958,2,"University of Texas, Houston",,1992,1995,1,1,0,-1,0,0,176,1954.0,3.3207547169811322,43091,813.0377358490565,138,2.6037735849056602,1991.0,5,605,17,1.0,95.5,1991.0,41.0,14,2
1053,968,90,2,California Institute of Technology,122411786.0,1992,1995,34,5,9,1,1,1,1,2003.0,1.0,0,0.0,2,2.0,1985.0,9,4239,14,2.6944444444444446,461.77777777777777,1985.0,-8.0,0,0
1064,980,97,1,New York University,57206974.0,1984,1990,50,1,0,-1,0,0,190,1974.0,3.9583333333333335,32176,670.3333333333334,177,3.6875,1988.0,5,1561,13,1.606060606060606,261.90909090909093,1988.0,16.0,34,0
1094,1002,193,1,University of Cambridge,241749.0,1975,1981,12,3,9,1,1,1,34,1954.0,0.6296296296296297,5561,102.98148148148148,35,0.6481481481481481,1981.0,11,6935,6,4.780487804878049,1000.439024390244,1981.0,27.0,12,0
1096,1004,1002,1,Syracuse University,70983195.0,1990,1995,19,4,0,1,0,0,196,1981.0,4.780487804878049,41018,1000.439024390244,159,3.8780487804878048,2010.0,1,0,4,0.5555555555555556,0.2222222222222222,1995.0,14.0,17,0
1120,810,1024,1,University of Toronto,185261750.0,1990,1993,10,1,22,-1,1,1,105,1951.0,1.6935483870967742,15630,252.09677419354838,41,0.6612903225806451,1988.0,4,190,4,7.5588235294117645,1011.1176470588236,1988.0,42.0,11,2
1151,51,484,1,University of Pennsylvania,79576946.0,1985,1989,30,4,12,1,1,1,193,1964.0,3.327586206896552,31867,549.4310344827586,163,2.810344827586207,1982.0,4,443,4,4.075,769.625,1982.0,25.0,19,0
1165,76,80,1,Princeton University,20089843.0,-1,1978,21,3,22,1,1,1,230,1922.0,2.3,100340,1003.4,149,1.49,1969.0,5,80,4,17.39622641509434,3740.5471698113206,1969.0,56.0,14,0
1166,76,65,2,Harvard Medical School,136199984.0,1979,1982,17,4,29,1,1,1,66,1941.0,0.8684210526315791,21884,287.9473684210526,37,0.4868421052631579,1969.0,5,80,4,17.39622641509434,3740.5471698113206,1969.0,41.0,3,0
1169,1052,247,2,National Institutes of Health,1299303238.0,1972,1976,22,1,1,-1,1,1,62,1952.0,0.953846153846154,10904,167.75384615384615,42,0.6461538461538462,1970.0,5,1092,3,2.8269230769230766,1349.7692307692307,1970.0,24.0,11,0
