First5YearPubsOfMentee,First5YearCitationOfMentee,First5YearCollaOfMentee,CollaPubsOfWithMentor,TotalPubsOfMentor,TotalCitationOfMentor,TotalCollaOfMentor,YearlyPubsOfMentor,YearlyCitationOfMentor,YearllyCollaOfMentor,PubsOfMentorInTraning,CareerAgeOfMentorInTraining
0.0,0.0,0.0,0.0,1.0,0,0.0,0.060606060606060615,0.0,0.0,0.0,0
4.0,48.0,4.0,1.0,75.0,1000,59.0,1.5516908212560383,44.59760368663595,1.2594074074074073,8.0,15
10.0,276.0,10.0,3.0,209.0,5000,165.39999999999986,3.642283298097249,153.5818181818181,3.153747645951036,22.0,25
525.0,38297.0,196.0,95.0,1445.0,309472,2272.0,42.411764705882355,4330.234042553191,50.488888888888894,300.0,50
