First5YearPubsOfMentee,First5YearCitationOfMentee,First5YearCollaOfMentee,CollaPubsOfWithMentor,TotalPubsOfMentor,TotalCitationOfMentor,TotalCollaOfMentor,YearlyPubsOfMentor,YearlyCitationOfMentor,YearllyCollaOfMentor,PubsOfMentorInTraning,CareerAgeOfMentorInTraining
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
5.0,50.0,2.0,1.0,15.0,260.0,13.0,0.9523809523809523,12.852555301296722,0.7540983606557377,6,15
10.0,518.7999999999993,8.0,3.0,151.0,4912.0,124.0,2.8480186480186487,96.7106060606061,2.5508163265306125,15,25
435.0,38297.0,294.0,95.0,2127.0,226338.0,2619.0,75.57142857142857,4330.234042553191,87.3,300,50
